Date,Value
08/22/16,1.000
08/29/16,1.000
09/05/16,1.000
09/12/16,1.000
09/19/16,1.000
09/26/16,1.000
10/03/16,1.000
10/10/16,1.000
10/17/16,1.000
10/24/16,1.000
10/31/16,1.000
11/07/16,1.000
11/08/16,1.000
11/14/16,1.000
11/15/16,1.000
11/21/16,1.000
11/22/16,1.000
11/28/16,1.000
11/29/16,1.410
12/05/16,1.403
12/06/16,1.411
12/07/16,1.416
12/08/16,1.435
12/09/16,1.438
12/12/16,1.447
12/13/16,1.445
12/14/16,1.455
12/15/16,1.441
12/16/16,1.444
12/19/16,1.446
12/20/16,1.447
12/21/16,1.451
12/22/16,1.448
12/23/16,1.446
12/26/16,1.446
12/27/16,1.434
12/28/16,1.438
12/29/16,1.425
12/30/16,1.437
01/02/17,1.429
01/03/17,1.430
01/04/17,1.442
01/05/17,1.518
01/06/17,1.518
01/09/17,1.520
01/10/17,1.514
01/11/17,1.514
01/12/17,1.519
01/13/17,1.515
01/17/17,1.517
01/18/17,1.512
01/19/17,1.518
01/20/17,1.511
01/23/17,1.517
01/24/17,1.512
01/25/17,1.521
01/26/17,1.534
01/27/17,1.533
01/30/17,1.532
01/31/17,1.523
02/01/17,1.522
02/02/17,1.522
02/03/17,1.523
02/06/17,1.526
02/07/17,1.523
02/08/17,1.523
02/09/17,1.524
02/10/17,1.530
02/13/17,1.536
02/14/17,1.551
02/15/17,1.552
02/16/17,1.559
02/17/17,1.561
02/20/17,1.565
02/21/17,1.564
02/22/17,1.573
02/23/17,1.572
02/24/17,1.572
02/27/17,1.576
02/28/17,1.577
03/01/17,1.565
03/02/17,1.586
03/03/17,1.503
03/06/17,1.504
03/07/17,1.499
03/08/17,1.493
03/09/17,1.490
03/10/17,1.491
03/13/17,1.497
03/14/17,1.497
03/15/17,1.492
03/16/17,1.505
03/17/17,1.502
03/20/17,1.499
03/21/17,1.496
03/22/17,1.476
03/23/17,1.473
03/24/17,1.471
03/27/17,1.470
03/28/17,1.464
03/29/17,1.475
03/30/17,1.477
03/31/17,1.480
04/03/17,1.478